Site,Id_num,Type,Surface_Area_m2,Ocean_Bioregion,Lat,Long,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Mohun_Lake,1,Freshwater,620.9,QCS,50.12,-125.49,82,79,35,5025,209,-12,221,26,149,149,21,1753,262,57,51,743,194,194,661
Bowen_Lake,2,Freshwater,44.63,SG,49.39,-123.35,92,73,31,5445,222,-8,230,31,163,163,26,1280,199,38,53,562,133,133,510
Muchalat_Lake,3,Freshwater,554,VIS,49.87,-126.15,57,70,37,4150,166,-20,186,15,112,113,11,2174,308,66,49,896,229,253,819
Comox_Lake,4,Freshwater,1631.7,SG,49.64,-125.1,69,86,37,4966,203,-25,228,16,136,136,12,1724,268,49,55,760,163,163,690
Kanaka_Creek,5,Marine,500000,SG,49.2,-122.59,92,88,35,5447,230,-17,247,29,162,162,24,1612,240,47,49,680,173,173,626
Courtenay_River_Estuary,6,Marine,500000,SG,49.68,-124.98,94,82,35,5245,226,-2,228,36,165,165,32,1299,211,37,58,595,125,125,524
Canton_Lagoon,7,Marine,500000,VIS,49.79,-126.48,73,63,37,3727,168,2,166,35,121,123,31,2524,354,70,49,1028,254,286,945
Sayward_Estuary,8,Marine,500000,QCS,50.38,-125.95,76,67,34,4549,188,-5,193,46,135,135,21,1855,263,63,48,757,215,215,677
Sooke_River_Campground,9,Marine,500000,VIS,48.38,-123.7,83,80,39,4282,201,0,201,36,138,139,32,1436,243,27,66,700,96,120,637
Bowen_Marine,10,Marine,500000,SG,49.38,-123.34,92,73,31,5445,222,-8,230,31,163,163,26,1280,199,38,53,562,133,133,510
Belcara_Marine,11,Marine,500000,SG,49.32,-122.89,97,82,34,5333,228,-7,235,36,166,166,31,1422,219,39,52,616,144,144,572
Englishman_River_Estuary,12,Marine,500000,SG,49.33,-124.3,89,79,35,5187,222,-3,225,33,157,157,28,1453,235,36,58,661,125,125,608
Port_Hardy_Estuary,13,Marine,500000,QCS,50.71,-127.48,83,62,36,3965,179,8,171,60,134,135,35,1969,284,55,50,826,204,262,723
Bamfield_Inlet,14,Marine,500000,VIS,48.83,-125.14,85,67,40,3598,178,14,164,48,130,133,43,2803,413,64,55,1190,232,267,1124
LilMud_Lake,15,Freshwater,4,SG,50.21,-125.55,78,71,34,4764,196,-8,204,24,141,141,20,1870,269,63,49,772,215,215,690
LowCamp_Lake,16,Freshwater,2800,SG,50.03,-125.47,82,79,35,5025,209,-12,221,26,149,149,21,1753,262,57,51,743,194,194,661
Mccreight_Lake,17,Freshwater,292,QCS,50.33,-125.64,78,71,34,4764,196,-8,204,24,141,141,20,1870,269,63,49,772,215,215,690
