Sample_ID,Site,SiteType,SpecificType,Standard_Length_Avg,Body_Depth_Avg,Pelvic_Spine_Avg,Pelvic_Girdle_Avg,First_Dorsal_Spine_Avg,Second_Dorsal_Spine_Avg,Mouth_Width_Avg,Lateral_plate_number_Avg,Eye_Diameter_Avg,Caudal_Peduncle_Lenth_Avg,Gill_Raker_Number_Avg,Adj_body_depth,Adj_pelvic_spine,Adj_pelvic_girdle,Adj_first_dorsal_spine,Adj_second_dorsal_spine,Adj_mouth_width,Adj_lateral_plate_number,Adj_eye_diameter,Adj_caudal_peduncle_length
2020_MB_100,Mccreight_Lake,Freshwater,Lake,45.85667,10.21333,7.343333,10.12,3.703333,4.393333,2.813333,7,3.843333,1.8,9,11.36027964,8.06063558,11.21811714,4.144637056,4.773950733,3.168559437,7,4.099082394,1.981005932
2020_MB_101,Mccreight_Lake,Freshwater,Lake,47.40667,9.86,7.563333,9.61,4.393333,4.833333,3.246667,7,4.516667,2.056667,10,10.64065022,8.051551838,10.35741328,4.693698507,5.092393475,3.488445356,7,4.690738131,2.179865366
2020_MB_103,Mccreight_Lake,Freshwater,Lake,38.19667,7.65,5.3,6.623333333,3.14,3.966667,2.156667,6,3.173333,1.36,9,10.60717771,7.149419654,9.454606327,4.277813272,4.94801286,3.072546537,6,3.832731096,1.826687195
2020_MB_108,Mccreight_Lake,Freshwater,Lake,42.73667,8.4,5.356667,8.31,4.016667,3.803333,2.666667,7,3.906667,1.786667,13,10.28427491,6.535092984,10.11405007,4.741666716,4.42863373,3.250253447,7,4.326826831,2.084033969
2020_MB_109,Mccreight_Lake,Freshwater,Lake,49.56333,10.86,7.29,10.99,4.893333,5.4,3.3,7,4.176667,2.126667,14,11.13098358,7.459473197,11.24944619,4.99759752,5.489926491,3.383927427,7,4.237091524,2.169432292
2020_MB_11,LowCamp_Lake,Freshwater,Lake,51.65333333,11.02333332,6.950000008,9.723333333,4.303333312,5.446666674,3.926666668,7,4.513333348,2.260000018,8,10.76991131,6.799691033,9.466589394,4.241101526,5.344542399,3.881727514,7,4.489094862,2.214020041
2020_MB_110,Mccreight_Lake,Freshwater,Lake,47.11,10.33,8.056667,9.76,4.746667,4.95,3.123333,7,3.98,1.99,14,11.18075993,8.588732466,10.574538,5.074008146,5.232326535,3.386825319,7,4.169704351,2.124262734
2020_MB_111,Mccreight_Lake,Freshwater,Lake,34.70667,6.536667,5.896667,6.653333333,4.376667,4.066667,1.996667,7,3.37,1.503333,10,10.3186092,8.261894564,10.27425567,5.831819327,5.32171275,3.167987702,7,4.213305925,2.100180456
2020_MB_113,Mccreight_Lake,Freshwater,Lake,41.82,8.63,6.646667,9.133333333,4.17,4.82,2.493333,7,3.846667,1.713333,11,10.73090438,7.960573109,11.14478967,4.978350774,5.517189692,3.144012642,7,4.315131355,2.044887363
2020_MB_115,Mccreight_Lake,Freshwater,Lake,46.39333,10.35333,6.95,10.59333333,4.206667,4.68,3.156667,7,3.673333,1.543333,10,11.37345496,7.587986398,11.57002548,4.599173584,5.018530689,3.472614052,7,3.900802744,1.704324088
